Tieu chi danh gia,Trong so (%),GPT (DALL-E 3),Amazon Nova Canvas,Stability Diffusion XL
Do thuc te (Photorealism),15,4.2/5 (Excellent photorealism),4.0/5 (Good photorealism),3.9/5 (Good photorealism)
Do sac net va chi tiet,10,"4.0/5 (High detail, sharp)",3.8/5 (Good detail level),4.2/5 (Excellent detail)
Chat luong mau sac va tuong phan,8,4.3/5 (Natural colors),4.0/5 (Good color quality),3.8/5 (Good colors)
Tu nhien va hai hoa,7,4.1/5 (Harmonious composition),3.9/5 (Natural appearance),3.7/5 (Generally natural)
Khong co loi/artifact,10,3.8/5 (Minimal artifacts),3.7/5 (Some artifacts),3.5/5 (More artifacts)
Tuan thu prompt,12,4.4/5 (Excellent prompt following),4.1/5 (Good prompt adherence),3.8/5 (Good prompt following)
Hieu ngu canh phuc tap,8,4.2/5 (Handles complexity well),3.8/5 (Handles complexity),3.6/5 (Basic complexity)
Xu ly negative prompt,5,3.5/5 (Limited negative prompt),3.8/5 (Better negative prompts),4.2/5 (Excellent negative)
Tao van ban trong anh,5,3.2/5 (Basic text generation),3.0/5 (Limited text),3.8/5 (Better text generation)
Toc do tao anh (giay),3,15-30 giay,10-20 giay,5-15 giay
Do phan giai toi da,2,1024x1024 px,1024x1024 px,1024x1024 px (higher possible)
Kha nang tuy chinh,2,3.0/5 (Some customization),4.2/5 (More customization),4.8/5 (Highly customizable)
Tinh on dinh,3,4.0/5 (Very stable),3.8/5 (Generally stable),3.5/5 (Less stable)
Chinh sua anh (Inpainting),2,2.0/5 (No inpainting),4.5/5 (Excellent inpainting),4.8/5 (Excellent inpainting)
Tao bien the anh,1,3.0/5 (Basic variations),4.0/5 (Good variations),4.5/5 (Great variations)
Kiem soat phong cach,1,3.5/5 (Style control limited),4.0/5 (Good style control),4.5/5 (Excellent style control)
Tao anh tu tham chieu,1,2.5/5 (Limited reference),4.2/5 (Good reference support),4.0/5 (Good reference)
De su dung (1-5),1,4.5/5 (Very easy to use),4.0/5 (User-friendly),2.5/5 (Technical knowledge needed)
Chi phi (USD/100 anh),1,$2-5 per 100 images,$1.5-3 per 100 images,$0.5-2 per 100 images
Bao mat va rieng tu,2,4.0/5 (Good privacy),4.2/5 (AWS security),3.0/5 (Open source risks)
Ho tro API,1,4.0/5 (Good API support),4.5/5 (Excellent API),3.5/5 (Community support)
